164.0,22.0,2017-05-18 10:04:51.540,S-SA-AL2
102.0,23.0,2017-05-18 10:05:01.540,S-SA-AL2
183.0,21.0,2017-05-18 10:05:11.540,S-SA-AL2
114.0,33.0,2017-05-18 10:05:21.540,S-SA-AL2
102.0,34.0,2017-05-18 10:05:31.540,S-SA-AL2
120.0,43.0,2017-05-18 10:05:41.540,S-SA-AL2
189.0,30.0,2017-05-18 10:05:51.540,S-SA-AL2
146.0,34.0,2017-05-18 10:06:01.540,S-SA-AL2
122.0,39.0,2017-05-18 10:06:11.540,S-SA-AL2
129.0,26.0,2017-05-18 10:06:21.540,S-SA-AL2
129.0,35.0,2017-05-18 10:06:31.540,S-SA-AL2
164.0,35.0,2017-05-18 10:06:41.540,S-SA-AL2
183.0,24.0,2017-05-18 10:06:51.540,S-SA-AL2
132.0,26.0,2017-05-18 10:07:01.540,S-SA-AL2
192.0,26.0,2017-05-18 10:07:11.540,S-SA-AL2
173.0,32.0,2017-05-18 10:07:21.540,S-SA-AL2
170.0,41.0,2017-05-18 10:07:31.540,S-SA-AL2
180.0,20.0,2017-05-18 10:07:41.540,S-SA-AL2
159.0,37.0,2017-05-18 10:07:51.540,S-SA-AL2
156.0,38.0,2017-05-18 10:08:01.540,S-SA-AL2
189.0,38.0,2017-05-18 10:08:11.540,S-SA-AL2
124.0,24.0,2017-05-18 10:08:21.540,S-SA-AL2
128.0,39.0,2017-05-18 10:08:31.540,S-SA-AL2
120.0,25.0,2017-05-18 10:08:41.540,S-SA-AL2
191.0,30.0,2017-05-18 10:08:51.540,S-SA-AL2
167.0,43.0,2017-05-18 10:09:01.540,S-SA-AL2
109.0,26.0,2017-05-18 10:09:11.540,S-SA-AL2
190.0,42.0,2017-05-18 10:09:21.540,S-SA-AL2
102.0,39.0,2017-05-18 10:09:31.540,S-SA-AL2
153.0,36.0,2017-05-18 10:09:41.540,S-SA-AL2
160.0,38.0,2017-05-18 10:09:51.540,S-SA-AL2
162.0,26.0,2017-05-18 10:10:01.540,S-SA-AL2
119.0,28.0,2017-05-18 10:10:11.540,S-SA-AL2
125.0,43.0,2017-05-18 10:10:21.540,S-SA-AL2
126.0,23.0,2017-05-18 10:10:31.540,S-SA-AL2
144.0,41.0,2017-05-18 10:10:41.540,S-SA-AL2
175.0,29.0,2017-05-18 10:10:51.540,S-SA-AL2
184.0,20.0,2017-05-18 10:11:01.540,S-SA-AL2
112.0,36.0,2017-05-18 10:11:11.540,S-SA-AL2
180.0,23.0,2017-05-18 10:11:21.540,S-SA-AL2
195.0,40.0,2017-05-18 10:11:31.540,S-SA-AL2
110.0,27.0,2017-05-18 10:11:41.540,S-SA-AL2
176.0,32.0,2017-05-18 10:11:51.540,S-SA-AL2
157.0,44.0,2017-05-18 10:12:01.540,S-SA-AL2
139.0,27.0,2017-05-18 10:12:11.540,S-SA-AL2
163.0,43.0,2017-05-18 10:12:21.540,S-SA-AL2
177.0,25.0,2017-05-18 10:12:31.540,S-SA-AL2
130.0,22.0,2017-05-18 10:12:41.540,S-SA-AL2
140.0,37.0,2017-05-18 10:12:51.540,S-SA-AL2
129.0,21.0,2017-05-18 10:13:01.540,S-SA-AL2
103.0,29.0,2017-05-18 10:13:11.540,S-SA-AL2
