-372.0,34.0,2017-05-17 15:44:37.960,S-SA-AL2
-369.0,30.0,2017-05-17 15:44:48.967,S-SA-AL2
-335.0,34.0,2017-05-17 15:44:59.967,S-SA-AL2
-301.0,33.0,2017-05-17 15:45:10.987,S-SA-AL2
-340.0,34.0,2017-05-17 15:45:22.013,S-SA-AL2
-336.0,34.0,2017-05-17 15:45:33.020,S-SA-AL2
-333.0,30.0,2017-05-17 15:45:43.983,S-SA-AL2
-361.0,33.0,2017-05-17 15:45:55.047,S-SA-AL2
-368.0,32.0,2017-05-17 15:46:06.073,S-SA-AL2
-266.0,33.0,2017-05-17 15:46:17.063,S-SA-AL2
-362.0,34.0,2017-05-17 15:46:28.097,S-SA-AL2
-363.0,33.0,2017-05-17 15:46:39.147,S-SA-AL2
-370.0,32.0,2017-05-17 15:46:50.160,S-SA-AL2
-299.0,34.0,2017-05-17 15:47:01.237,S-SA-AL2
-341.0,34.0,2017-05-17 15:47:12.337,S-SA-AL2
-311.0,31.0,2017-05-17 15:47:23.407,S-SA-AL2
-281.0,34.0,2017-05-17 15:47:34.490,S-SA-AL2
-292.0,31.0,2017-05-17 15:47:45.690,S-SA-AL2
-345.0,33.0,2017-05-17 15:47:56.763,S-SA-AL2
-345.0,33.0,2017-05-17 15:48:07.923,S-SA-AL2
-288.0,32.0,2017-05-17 15:48:19.030,S-SA-AL2
-300.0,34.0,2017-05-17 15:48:30.173,S-SA-AL2
-280.0,34.0,2017-05-17 15:48:41.343,S-SA-AL2
-333.0,31.0,2017-05-17 15:48:52.437,S-SA-AL2
-266.0,33.0,2017-05-17 15:49:03.583,S-SA-AL2
-386.0,33.0,2017-05-17 15:49:14.643,S-SA-AL2
-284.0,34.0,2017-05-17 15:49:25.740,S-SA-AL2
-289.0,32.0,2017-05-17 15:49:36.860,S-SA-AL2
-269.0,32.0,2017-05-17 15:49:48.073,S-SA-AL2
-356.0,30.0,2017-05-17 15:49:59.200,S-SA-AL2
-368.0,32.0,2017-05-17 15:50:10.420,S-SA-AL2
-322.0,34.0,2017-05-17 15:50:21.503,S-SA-AL2
-394.0,30.0,2017-05-17 15:50:32.643,S-SA-AL2
-265.0,33.0,2017-05-17 15:50:43.753,S-SA-AL2
-307.0,32.0,2017-05-17 15:50:54.887,S-SA-AL2
-397.0,30.0,2017-05-17 15:51:06.137,S-SA-AL2
-317.0,30.0,2017-05-17 15:51:17.327,S-SA-AL2
-261.0,34.0,2017-05-17 15:51:28.430,S-SA-AL2
-340.0,34.0,2017-05-17 15:51:39.617,S-SA-AL2
-324.0,33.0,2017-05-17 15:51:50.823,S-SA-AL2
-271.0,31.0,2017-05-17 15:52:02.013,S-SA-AL2
-355.0,30.0,2017-05-17 15:52:13.197,S-SA-AL2
-339.0,34.0,2017-05-17 15:52:24.360,S-SA-AL2
-392.0,31.0,2017-05-17 15:52:35.517,S-SA-AL2
-263.0,34.0,2017-05-17 15:52:46.667,S-SA-AL2
-309.0,32.0,2017-05-17 15:52:57.777,S-SA-AL2
-320.0,34.0,2017-05-17 15:53:08.953,S-SA-AL2
-335.0,30.0,2017-05-17 15:53:20.147,S-SA-AL2
-357.0,30.0,2017-05-17 15:53:31.340,S-SA-AL2
-372.0,31.0,2017-05-17 15:53:42.497,S-SA-AL2
-285.0,33.0,2017-05-17 15:53:53.610,S-SA-AL2
-357.0,34.0,2017-05-17 15:54:04.820,S-SA-AL2
-274.0,30.0,2017-05-17 15:54:16.023,S-SA-AL2
-398.0,34.0,2017-05-17 15:54:27.227,S-SA-AL2
-382.0,33.0,2017-05-17 15:54:38.430,S-SA-AL2
-336.0,30.0,2017-05-17 15:54:49.640,S-SA-AL2
-314.0,30.0,2017-05-17 15:55:00.800,S-SA-AL2
-377.0,30.0,2017-05-17 15:55:12.057,S-SA-AL2
